,Role_Guardian
376,0.376653599
377,0.5913210870000001
378,0.570514535
379,0.29333051
380,0.597770487
381,0.657618774
382,0.7720324140000001
383,0.6686726829999999
384,0.697737808
385,0.421498536
386,0.495344202
387,0.6974857409999999
388,0.114414121
389,0.278617497
390,0.398069421
391,0.435824689
392,0.448962996
393,0.255912118
394,0.6881371059999999
395,0.7720324140000001
396,0.286741538
397,0.475892795
398,0.508853581
399,0.56788106
400,0.475438442
401,0.460136411
402,0.451674602
403,0.322986779
404,0.574032184
405,0.357839847
406,0.289216961
407,0.7720324140000001
408,0.7720324140000001
409,0.53226507
410,0.4343908179999999
411,0.417397615
412,0.157752469
413,0.7720324140000001
414,0.642919159
415,0.4391893879999999
416,0.7720324140000001
417,0.301704667
418,0.352266139
419,0.2944935039999999
420,0.500243212
421,0.455186951
422,0.7720324140000001
423,0.493529355
424,0.268542233
425,0.7720324140000001
426,0.7720324140000001
427,0.7720324140000001
428,0.7720324140000001
429,0.4595752729999999
430,0.7720324140000001
431,0.500243212
432,0.331911156
433,0.666996124
434,0.7720324140000001
435,0.7720324140000001
436,0.7720324140000001
437,0.178814295
438,0.48415216
439,0.7720324140000001
440,0.7720324140000001
441,0.510842708
442,0.500243212
443,0.7720324140000001
444,0.7720324140000001
445,0.7720324140000001
446,0.7720324140000001
447,0.577365274
448,0.7720324140000001
449,0.599218449
450,0.7720324140000001
451,0.223570687
452,0.38623922
453,0.7720324140000001
454,0.635873493
455,0.4317183679999999
456,0.484998301
457,0.52845725
458,0.435443935
459,0.53904527
460,0.7720324140000001
461,0.45036517
462,0.669427655
463,0.7720324140000001
464,0.5871107870000001
465,0.7720324140000001
466,0.7720324140000001
467,0.7720324140000001
468,0.65234558
469,0.7720324140000001
470,0.589970334
471,0.28262485
472,0.7720324140000001
473,0.7720324140000001
474,0.576872349
475,0.371836414
476,0.7720324140000001
477,0.7720324140000001
478,0.5894839
479,0.368846041
480,0.467609271
481,0.500243212
482,0.7720324140000001
483,0.28937471
484,0.7720324140000001
485,0.7720324140000001
486,0.462226659
487,0.7720324140000001
488,0.302090947
489,0.668307738
490,0.500243212
491,0.336617768
492,0.605265604
493,0.629074667
494,0.7720324140000001
495,0.479303352
496,0.7720324140000001
497,0.7720324140000001
498,0.7720324140000001
499,0.406617481
500,0.7720324140000001
501,0.7720324140000001
502,0.459126504
503,0.7720324140000001
504,0.50407789
505,0.465185517
506,0.7720324140000001
507,0.423053881
508,0.500243212
509,0.344234242
510,0.411803386
511,0.378711377
512,0.588187627
513,0.485210576
514,0.48179202
515,0.7720324140000001
516,0.142663154
517,0.2508855769999999
518,0.471133067
519,0.7720324140000001
520,0.4245174439999999
521,0.7720324140000001
522,0.565573688
523,0.400258669
524,0.7720324140000001
525,0.540499796
526,0.7720324140000001
527,0.267141771
528,0.174233632
529,0.658599452
530,0.500243212
531,0.7720324140000001
532,0.515320208
533,0.500243212
534,0.430204062
535,0.328474536
536,0.3164566689999999
537,0.312738553
538,0.500243212
539,0.309793138
540,0.7720324140000001
541,0.410375796
542,0.20832122
543,0.411484081
544,0.7720324140000001
545,0.491483513
546,0.320461477
547,0.7720324140000001
548,0.460418846
549,0.500243212
550,0.500243212
551,0.246973235
552,0.7720324140000001
553,0.7720324140000001
554,0.5357648
555,0.7720324140000001
556,0.157081918
557,0.7720324140000001
558,0.452858925
559,0.500243212
560,0.49349148
561,0.510194678
562,0.500243212
563,0.468140776
564,0.441844631
565,0.7720324140000001
566,0.364809228
567,0.415959716
568,0.7720324140000001
569,0.336038114
570,0.447650069
571,0.7720324140000001
572,0.2876141789999999
573,0.649403362
574,0.5168185129999999
575,0.39171505
576,0.174316675
577,0.545334008
578,0.3511810279999999
579,0.474851857
580,0.386752677
581,0.500243212
582,0.486898303
583,0.7720324140000001
584,0.7720324140000001
585,0.1752195319999999
586,0.510152019
587,0.7720324140000001
588,0.366619406
589,0.7720324140000001
590,0.7720324140000001
591,0.7720324140000001
592,0.671198838
593,0.7720324140000001
594,0.300942276
595,0.5255809579999999
596,0.7720324140000001
597,0.478907141
598,0.494106906
599,0.5677883979999999
600,0.314230067
601,0.37148816
602,0.6158326279999999
603,0.324801536
604,0.4214817829999999
605,0.5098807329999999
606,0.7720324140000001
607,0.5371936270000001
608,0.7720324140000001
609,0.443734252
610,0.378954649
611,0.284087146
612,0.365373874
613,0.458454034
614,0.462609004
615,0.344086356
616,0.500243212
617,0.557989304
618,0.500243212
619,0.7720324140000001
620,0.7720324140000001
621,0.390716825
622,0.314913292
623,0.500416196
624,0.512325652
625,0.2929604389999999
626,0.564959933
627,0.500243212
628,0.7720324140000001
629,0.622295512
630,0.500243212
