,Role_Toastmaster,Personal_Values_Facet_Cont_PowerDominance,Mean
52,0.569715812,0.347484746,0.458600279
53,0.6781334529999999,0.349944594,0.5140390235
54,0.643394119,0.3597634179999999,0.5015787684999999
55,0.398904369,0.35070667,0.37480551949999996
56,0.5435430689999999,0.334288866,0.43891596749999995
57,0.637935275,0.328804421,0.48336984800000005
58,0.435830703,0.330099313,0.382965008
59,0.625114217,0.351382705,0.488248461
60,0.545125772,0.338607032,0.441866402
61,0.593656111,0.320229384,0.4569427475
62,0.673284313,0.362360242,0.5178222775
63,0.619436978,0.321795111,0.4706160445
64,0.3571639689999999,0.329173614,0.34316879149999996
65,0.304249921,0.333113491,0.318681706
66,0.7182636609999999,0.349264161,0.533763911
67,0.556669969,0.334652677,0.445661323
68,0.576446339,0.340574901,0.45851062
69,0.432099251,0.34309201,0.3875956305
70,0.421810945,0.3374457389999999,0.37962834199999995
71,0.236726668,0.33249331,0.284609989
72,0.601906211,0.338978681,0.47044244599999996
73,0.1624983009999999,0.3362594379999999,0.2493788694999999
74,0.1624983009999999,0.3362594379999999,0.2493788694999999
75,0.375935761,0.341774089,0.358854925
76,0.389784959,0.336091972,0.3629384655
77,0.56192138,0.345500786,0.453711083
78,0.6669932279999999,0.328417086,0.49770515699999995
79,0.449834567,0.344733401,0.397283984
80,0.317113301,0.341413915,0.329263608
81,0.656593767,0.3426392479999999,0.4996165075
82,0.527454475,0.3249486119999999,0.42620154349999995
83,0.574825558,0.313982068,0.444403813
84,0.551597252,0.345836605,0.4487169285
85,0.462267042,0.345918943,0.40409299249999997
86,0.579043888,0.326137506,0.452590697
87,0.399823346,0.33256651,0.366194928
88,0.471716378,0.346243839,0.4089801085
89,0.568518689,0.338695845,0.453607267
90,0.5907294479999999,0.33877957,0.4647545089999999
91,0.427781818,0.3426936779999999,0.38523774799999994
92,0.553202089,0.344601477,0.448901783
93,0.312015503,0.336079973,0.324047738
94,0.670038987,0.330591955,0.500315471
95,0.6018969120000001,0.322769423,0.46233316750000003
96,0.297608184,0.335960164,0.31678417400000003
97,0.40544552,0.347141689,0.3762936045
98,0.586291853,0.333138689,0.459715271
99,0.305574299,0.339613328,0.3225938135
100,0.590805405,0.327450617,0.459128011
101,0.505797515,0.337690117,0.421743816
102,0.517137894,0.358939134,0.438038514
103,0.646037934,0.357338424,0.501688179
104,0.454589362,0.346243184,0.400416273
105,0.492386735,0.33980851,0.41609762250000004
106,0.4102727879999999,0.354138248,0.3822055179999999
107,0.412697681,0.335920325,0.37430900300000003
108,0.704167922,0.329093292,0.516630607
109,0.690586688,0.321853887,0.5062202875
110,0.549916169,0.336304172,0.4431101705
111,0.463635357,0.331788076,0.39771171650000003
112,0.499425771,0.33379694,0.4166113555
113,0.332470594,0.343609028,0.338039811
114,0.438758377,0.336491192,0.3876247845
115,0.522861855,0.331326241,0.42709404800000006
116,0.317447425,0.350486467,0.333966946
117,0.706166608,0.335270528,0.5207185679999999
118,0.586050622,0.353326145,0.4696883835
119,0.66993995,0.342378486,0.506159218
120,0.73970016,0.3398986189999999,0.5397993895
121,0.704197045,0.35744739,0.5308222175
122,0.457691856,0.356814192,0.40725302399999996
123,0.454568406,0.3540041379999999,0.40428627199999995
124,0.566115314,0.331629985,0.44887264950000005
125,0.65707321,0.346163049,0.5016181295
126,0.527091314,0.368779155,0.4479352345
127,0.423691746,0.33702949,0.380360618
128,0.28084731,0.3389725229999999,0.3099099165
129,0.588033889,0.34384028,0.4659370845
130,0.742077145,0.3463064979999999,0.5441918214999999
131,0.7004568659999999,0.333587331,0.5170220984999999
132,0.466128439,0.339197504,0.40266297149999997
133,0.519941175,0.3363347889999999,0.428137982
134,0.367262732,0.3502262779999999,0.35874450499999994
135,0.623735358,0.349863666,0.48679951200000005
136,0.566154795,0.354395882,0.4602753385
137,0.649884461,0.340929826,0.4954071435
138,0.631413989,0.3542922329999999,0.49285311099999995
139,0.249886628,0.333239581,0.2915631045
140,0.613841969,0.3572433929999999,0.485542681
141,0.573306757,0.335787675,0.45454721600000003
142,0.583154101,0.339720843,0.46143747199999996
143,0.35539858,0.3294995189999999,0.3424490495
144,0.409917761,0.346570137,0.378243949
145,0.490059425,0.331968365,0.41101389499999996
146,0.650080722,0.336714229,0.4933974755
147,0.478800989,0.331250467,0.40502572800000003
148,0.536295558,0.334756088,0.435525823
149,0.459775412,0.332795639,0.39628552549999996
150,0.701071745,0.350916774,0.5259942595
151,0.4909554779999999,0.343125403,0.41704044049999994
152,0.594060285,0.336888873,0.465474579
153,0.4984889079999999,0.3435449539999999,0.4210169309999999
154,0.601269431,0.35727234,0.47927088549999997
155,0.281782786,0.342158578,0.311970682
156,0.4692179489999999,0.326435659,0.3978268039999999
157,0.442806456,0.3369205529999999,0.38986350449999996
158,0.4450295529999999,0.328856899,0.386943226
159,0.515381556,0.335561312,0.425471434
160,0.318009063,0.332194805,0.325101934
161,0.349625507,0.345742597,0.34768405199999997
162,0.388801297,0.338974204,0.3638877505
163,0.55073202,0.355255997,0.4529940085
164,0.6055704129999999,0.341392541,0.473481477
