,Role_RightsDefender
288,0.385900649
289,0.419124996
290,0.563210541
291,0.381292846
292,0.6190364770000001
293,0.541649444
294,0.533438607
295,0.559641971
296,0.559641971
297,0.3907115029999999
298,0.5103717879999999
299,0.384849819
300,0.46416724
301,0.4275738779999999
302,0.58346616
303,0.4244197229999999
304,0.497501992
305,0.510691286
306,0.541510245
307,0.6000132020000001
308,0.471070582
309,0.826022178
310,0.542422295
311,0.604683211
312,0.380614897
313,0.584880824
314,0.460485656
315,0.566474547
316,0.530176884
317,0.4057183689999999
318,0.474990712
319,0.435752454
320,0.605122586
321,0.2691704689999999
322,0.475987917
323,0.3478625829999999
324,0.473220295
325,0.542437231
326,0.3875169539999999
327,0.6706392520000001
328,0.524546121
329,0.559641971
330,0.508413219
331,0.6197546629999999
332,0.426213155
333,0.617194626
334,0.506197889
335,0.411141536
336,0.524042699
337,0.533438607
338,0.559550105
339,0.515899193
340,0.506818541
341,0.516653472
342,0.685338405
343,0.533438607
344,0.425261991
345,0.451628137
346,0.787049287
347,0.670083572
348,0.480061097
349,0.530786715
350,0.7092208940000001
351,0.68935413
352,0.62422852
353,0.8344638329999999
354,0.425261991
355,0.5509427029999999
356,0.392399615
357,0.5439956029999999
358,0.347176265
359,0.301544888
360,0.514907766
361,0.485174776
362,0.485174802
363,0.51108011
364,0.274144441
365,0.587912216
366,0.6460871770000001
367,0.4734574039999999
368,0.643332539
369,0.681661211
370,0.533438607
371,0.649647601
372,0.3924843179999999
373,0.467691977
374,0.5282565220000001
375,0.579714127
376,0.502870765
377,0.526637719
378,0.392835476
379,0.464874002
380,0.3548497089999999
381,0.482463601
382,0.533438607
383,0.4664938079999999
384,0.590584604
385,0.5724578370000001
386,0.443341052
387,0.440270485
388,0.33747318
389,0.359547173
390,0.383411524
391,0.418333384
392,0.534880247
393,0.395381889
394,0.458173765
395,0.533438607
396,0.2344750639999999
397,0.527078093
398,0.242857447
399,0.601416753
400,0.601326337
401,0.639211925
402,0.67811125
403,0.398592324
404,0.587290992
405,0.6952635890000001
406,0.498480275
407,0.533438607
408,0.533438607
409,0.492171296
410,0.466950731
411,0.5658609
412,0.354205786
413,0.533438607
414,0.422320476
415,0.481499933
416,0.533438607
417,0.439723026
418,0.455747302
419,0.443321563
420,0.559641971
421,0.427151509
422,0.533438607
423,0.602511542
424,0.430510533
425,0.533438607
426,0.533438607
427,0.533438607
428,0.533438607
429,0.5835340960000001
430,0.533438607
431,0.559641971
432,0.305451404
433,0.462757405
434,0.533438607
435,0.533438607
436,0.533438607
437,0.300514696
438,0.496844303
439,0.533438607
440,0.533438607
441,0.385517041
442,0.559641971
443,0.533438607
444,0.533438607
445,0.533438607
446,0.533438607
447,0.43930058
448,0.533438607
449,0.405303157
450,0.533438607
451,0.3007218889999999
452,0.576576427
453,0.533438607
454,0.52809363
455,0.5421120939999999
456,0.424441437
457,0.613763023
458,0.661344141
459,0.37752149
460,0.533438607
461,0.598575828
462,0.289629567
463,0.533438607
464,0.332419319
465,0.533438607
466,0.533438607
467,0.533438607
468,0.49837168
469,0.533438607
470,0.36254775
471,0.303473827
472,0.533438607
473,0.533438607
474,0.195708162
475,0.485494738
476,0.533438607
477,0.533438607
478,0.353596697
479,0.690648892
480,0.4991918979999999
481,0.559641971
482,0.533438607
483,0.386816403
484,0.533438607
485,0.533438607
486,0.465322619
487,0.533438607
488,0.337510451
489,0.380307557
490,0.559641971
491,0.494859715
492,0.444996565
493,0.399154752
494,0.533438607
495,0.514248089
496,0.533438607
497,0.533438607
498,0.533438607
499,0.4539175239999999
500,0.533438607
501,0.533438607
502,0.568986864
503,0.533438607
