,Role_Coach
394,0.345943383
395,0.5037116460000001
396,0.0
397,0.151769994
398,0.3962824129999999
399,0.268784371
400,0.222732283
401,0.273819369
402,0.285302522
403,0.034982921
404,0.247993386
405,0.246205611
406,0.1568025519999999
407,0.5037116460000001
408,0.5037116460000001
409,0.177801006
410,0.0662268709999999
411,0.069145106
412,0.0
413,0.5037116460000001
414,0.19370509
415,0.068933418
416,0.5037116460000001
417,0.081086802
418,0.048725937
419,0.035848167
420,0.152212617
421,0.134335149
422,0.5037116460000001
423,0.223286721
424,0.0205823589999999
425,0.5037116460000001
426,0.5037116460000001
427,0.5037116460000001
428,0.5037116460000001
429,0.226768747
430,0.5037116460000001
431,0.152212617
432,0.0
433,0.327865994
434,0.5037116460000001
435,0.5037116460000001
436,0.5037116460000001
437,0.0
438,0.0781931429999999
439,0.5037116460000001
440,0.5037116460000001
441,0.080129907
442,0.152212617
443,0.5037116460000001
444,0.5037116460000001
445,0.5037116460000001
446,0.5037116460000001
447,0.348450839
448,0.5037116460000001
449,0.327678186
450,0.5037116460000001
451,0.0
452,0.227454528
453,0.5037116460000001
454,0.337908426
455,0.12752254
456,0.073742389
457,0.191692858
458,0.372742523
459,0.167523381
460,0.5037116460000001
461,0.173988946
462,0.489310446
463,0.5037116460000001
464,0.242948506
465,0.5037116460000001
466,0.5037116460000001
467,0.5037116460000001
468,0.444528601
469,0.5037116460000001
470,0.367926249
471,0.0
472,0.5037116460000001
473,0.5037116460000001
474,0.147262909
475,0.0950613219999999
476,0.5037116460000001
477,0.5037116460000001
478,0.475119042
479,0.205232109
480,0.145028045
481,0.152212617
482,0.5037116460000001
483,0.074732776
484,0.5037116460000001
485,0.5037116460000001
486,0.065763119
487,0.5037116460000001
488,0.0
489,0.549612284
490,0.152212617
491,0.0297536789999999
492,0.113228128
493,0.135769309
494,0.5037116460000001
495,0.125585069
496,0.5037116460000001
497,0.5037116460000001
498,0.5037116460000001
499,0.0
500,0.5037116460000001
501,0.5037116460000001
502,0.185652865
503,0.5037116460000001
504,0.013086195
505,0.132184591
506,0.5037116460000001
507,0.2306887819999999
508,0.152212617
509,0.085180845
510,0.1223516519999999
511,0.120984564
512,0.16616871
513,0.0775480779999999
514,0.182096888
515,0.5037116460000001
516,0.0
517,0.008056227
518,0.281065687
519,0.5037116460000001
520,0.125961128
521,0.5037116460000001
522,0.302886321
523,0.281674626
524,0.5037116460000001
525,0.166987614
526,0.5037116460000001
527,0.14349129
528,0.0
529,0.294978615
530,0.152212617
531,0.5037116460000001
532,0.306686196
533,0.152212617
534,0.140621567
535,0.042296741
536,0.0
537,0.137747388
538,0.152212617
539,0.096095494
540,0.5037116460000001
541,0.140617883
542,0.0
543,0.223901035
544,0.5037116460000001
545,0.223029427
546,0.167776655
547,0.5037116460000001
548,0.1142590219999999
549,0.152212617
550,0.152212617
551,0.007564074
552,0.5037116460000001
553,0.5037116460000001
554,0.246974887
555,0.5037116460000001
556,0.0
