,Role_Commander
357,0.503036114
358,0.365074122
359,0.817976103
360,0.627237221
361,0.400384148
362,0.4740446
363,0.5676389860000001
364,0.392070119
365,0.4681590929999999
366,0.37313977
367,0.415692542
368,0.550479493
369,0.453124976
370,0.444177572
371,0.2416025269999999
372,0.282399845
373,0.5371522910000001
374,0.585454379
375,0.723260557
376,0.5923842220000001
377,0.270438872
378,0.277142811
379,0.561284008
380,0.413951462
381,0.45375588
382,0.444177572
383,0.615375578
384,0.702541835
385,0.533937454
386,0.28522734
387,0.416521214
388,0.406645981
389,0.617060519
390,0.655940494
391,0.353783527
392,0.267003242
393,0.609740404
394,0.404901307
395,0.444177572
396,0.743964592
397,0.666021651
398,0.098791727
399,0.539713242
400,0.444216902
401,0.380739867
402,0.4290232879999999
403,0.605304966
404,0.499853328
405,0.367386726
406,0.3602991239999999
407,0.444177572
408,0.444177572
409,0.3792380279999999
410,0.7053459320000001
411,0.5698333760000001
412,0.361962167
413,0.444177572
414,0.6085591579999999
415,0.755239164
416,0.444177572
417,0.474806915
418,0.533277357
419,0.493013415
420,0.6430682329999999
421,0.34383373
422,0.444177572
423,0.355109745
424,0.615945038
425,0.444177572
426,0.444177572
427,0.444177572
428,0.444177572
429,0.4046759629999999
430,0.444177572
431,0.6430682329999999
432,0.761825525
433,0.405948679
434,0.444177572
435,0.444177572
436,0.444177572
437,0.549254138
438,0.55342351
439,0.444177572
440,0.444177572
441,0.438543222
442,0.6430682329999999
443,0.444177572
444,0.444177572
445,0.444177572
446,0.444177572
447,0.323620808
448,0.444177572
449,0.254098546
450,0.444177572
451,0.634233889
452,0.3727507929999999
453,0.444177572
454,0.4203499679999999
455,0.507132591
456,0.438341593
457,0.625683066
458,0.267847222
459,0.308935307
460,0.444177572
461,0.6870354679999999
462,0.237952159
463,0.444177572
464,0.25258773
465,0.444177572
466,0.444177572
467,0.444177572
468,0.292438307
469,0.444177572
470,0.368348042
471,0.725259329
472,0.444177572
473,0.444177572
474,0.25135566
475,0.591805601
476,0.444177572
477,0.444177572
478,0.196635403
479,0.415509517
480,0.492261092
481,0.6430682329999999
482,0.444177572
