,Role_Healer
177,0.65666679
178,0.2756849269999999
179,0.661993622
180,0.1943456469999999
181,0.321116066
182,0.3793047579999999
183,0.532912297
184,0.465735899
185,0.6542766760000001
186,0.571630475
187,0.294778898
188,0.5560425370000001
189,0.413871297
190,0.275429547
191,0.4649014589999999
192,0.377492746
193,0.401701156
194,0.470689682
195,0.748957331
196,0.3710890639999999
197,0.324640448
198,0.511686826
199,0.511775031
200,0.506124771
201,0.588306934
202,0.602833451
203,0.389813695
204,0.6654961939999999
205,0.603614553
206,0.620741972
207,0.345568243
208,0.4499580529999999
209,0.6294459
210,0.193428075
211,0.639976871
212,0.55940551
213,0.215788105
214,0.443450472
215,0.6939335529999999
216,0.599318781
217,0.327839136
218,0.608884824
219,0.649253294
220,0.59289677
221,0.555171537
222,0.541755098
223,0.603614553
224,0.618316258
225,0.35476595
226,0.49366734
227,0.589939593
228,0.734649463
229,0.6384313420000001
230,0.332730548
231,0.471906545
232,0.73000337
233,0.458520821
234,0.603614553
235,0.283664416
236,0.603614553
237,0.603614553
238,0.519536809
239,0.4140915289999999
240,0.41700204
241,0.478479036
242,0.47559847
243,0.514095765
244,0.60446411
245,0.6987501070000001
246,0.6482068089999999
247,0.603614553
248,0.603614553
249,0.1416619469999999
250,0.50660178
251,0.48961479
252,0.7201698259999999
253,0.535919889
254,0.330808121
255,0.48336046
256,0.603614553
257,0.462683096
258,0.480131469
259,0.354842174
260,0.828686776
261,0.244435103
262,0.634911223
263,0.603614553
264,0.271600793
265,0.274068606
266,0.602465855
267,0.360098106
268,0.604049166
269,0.510040814
270,0.203144148
271,0.150901974
272,0.510040814
273,0.4196298089999999
274,0.5439716029999999
275,0.6489395729999999
276,0.561646806
277,0.433089482
278,0.461760352
279,0.6881045259999999
280,0.407881841
281,0.640445456
282,0.510040814
283,0.461822846
284,0.452121106
285,0.422799507
286,0.587546052
287,0.492340469
288,0.467666631
289,0.681223296
290,0.607421836
291,0.182486916
292,0.43987867
293,0.395103961
294,0.603614553
295,0.510040814
296,0.510040814
297,0.628663496
298,0.4898509379999999
299,0.467124783
300,0.4536579979999999
301,0.287732426
302,0.4446027729999999
303,0.343195464
304,0.330502742
305,0.660669911
306,0.370730569
307,0.485130802
308,0.6838818059999999
309,0.667836691
310,0.483820231
311,0.664472407
312,0.502837501
313,0.396136871
314,0.497786259
315,0.8049414020000001
316,0.538640158
317,0.350542532
318,0.32487885
319,0.5125589229999999
320,0.6863298290000001
321,0.248913523
322,0.42446506
323,0.171531563
324,0.369389595
325,0.610047674
326,0.605354769
327,0.5962520889999999
328,0.521998549
329,0.510040814
330,0.442690135
331,0.496158245
332,0.214962555
333,0.791302933
334,0.372234607
335,0.391664388
336,0.561734162
337,0.603614553
338,0.702670505
