,Role_Strategist
134,0.818229405
135,0.686258081
136,0.668985583
137,0.6440733710000001
138,0.72539545
139,0.4584840129999999
140,0.712414455
141,0.708281713
142,0.624930138
143,0.531093978
144,0.472905453
145,0.664145509
146,0.429204704
147,0.451198418
148,0.601965224
149,0.637669329
150,0.708275214
151,0.648206195
152,0.640617608
153,0.5335396929999999
154,0.77025259
155,0.521684377
156,0.6711701840000001
157,0.818591505
158,0.6088357289999999
159,0.761727457
160,0.433309056
161,0.636071312
162,0.5040157510000001
163,0.3824340989999999
164,0.650308618
165,0.514642223
166,0.557258002
167,0.6829613859999999
168,0.671816277
169,0.614962744
170,0.557225359
171,0.614784811
172,0.5138610889999999
173,0.5771247420000001
174,0.603614404
175,0.705549635
176,0.739464329
177,0.706149639
178,0.456285751
179,0.574651494
180,0.454802334
181,0.672143783
182,0.574387035
183,0.7323984440000001
184,0.6223773579999999
185,0.678254125
186,0.623810724
187,0.475320461
188,0.586032126
189,0.496506606
190,0.473397909
191,0.8194474559999999
192,0.546604755
193,0.667595313
194,0.598959546
195,0.335111896
196,0.637058524
197,0.55531962
198,0.624672119
199,0.606751856
200,0.57955771
201,0.39365885
202,0.689956868
203,0.686662731
204,0.529368994
205,0.77025259
206,0.75170561
207,0.706179874
208,0.626436322
209,0.581612441
210,0.44718075
211,0.645555991
212,0.689465465
213,0.328435496
214,0.5701176410000001
215,0.7071547979999999
216,0.64903247
217,0.535563155
218,0.580739364
219,0.747415708
220,0.680371851
221,0.680014535
222,0.736027131
223,0.77025259
224,0.633998529
225,0.531477714
226,0.632224954
227,0.799447221
228,0.6790037959999999
229,0.664392755
230,0.596162373
231,0.34551674
232,0.5555210270000001
233,0.636449613
234,0.77025259
235,0.438909019
236,0.77025259
237,0.77025259
238,0.60814646
239,0.582998602
240,0.707964576
241,0.697059834
242,0.69695785
243,0.528594977
244,0.5242703870000001
245,0.471232534
246,0.5202789760000001
247,0.77025259
248,0.77025259
249,0.446484777
250,0.3855789189999999
251,0.5403372710000001
252,0.60514666
253,0.767030709
254,0.3331218039999999
255,0.59566104
256,0.77025259
257,0.540374937
258,0.7330851859999999
259,0.565131048
260,0.63238981
261,0.571534567
262,0.6258337420000001
263,0.77025259
264,0.569515588
265,0.692384326
266,0.7135427040000001
267,0.567851323
268,0.804336918
269,0.6725550379999999
270,0.45673152
271,0.390515578
272,0.6725550379999999
273,0.599364494
274,0.517182026
275,0.823969945
276,0.581879664
277,0.657206874
278,0.698108037
279,0.576822177
280,0.615633595
281,0.7278112720000001
282,0.6725550379999999
283,0.65882073
284,0.655571326
285,0.660272434
286,0.6403820370000001
287,0.707208728
288,0.575504287
289,0.498532685
290,0.7516730140000001
291,0.5009481889999999
292,0.6775383220000001
293,0.708999183
294,0.77025259
295,0.6725550379999999
296,0.6725550379999999
297,0.6266010089999999
298,0.782579397
299,0.518154291
300,0.6205709660000001
301,0.517452841
302,0.550866599
303,0.651560759
304,0.587039379
305,0.684148054
306,0.702117544
307,0.650945959
308,0.728852175
309,0.6752966090000001
310,0.8254193129999999
311,0.7701567659999999
312,0.619665763
313,0.60105232
314,0.586950784
315,0.624318167
316,0.69177304
317,0.534258951
318,0.53252474
319,0.60642461
320,0.5407229610000001
321,0.301974676
322,0.784167374
323,0.511382265
324,0.626609042
325,0.6903219209999999
326,0.6233180110000001
327,0.7809824809999999
328,0.42845661
329,0.6725550379999999
330,0.640609489
331,0.773969768
332,0.5056209939999999
333,0.716785369
334,0.653927636
335,0.60698312
336,0.689425532
337,0.77025259
338,0.5941190270000001
339,0.597876719
340,0.819219733
341,0.4873700589999999
342,0.688133318
343,0.77025259
344,0.6403820370000001
345,0.715136641
346,0.566727037
347,0.586998892
348,0.718247317
349,0.7189095640000001
350,0.680226853
351,0.7229218820000001
352,0.695699855
353,0.58518478
354,0.6403820370000001
355,0.53769992
356,0.739357415
357,0.60278935
358,0.594203574
359,0.5219593889999999
360,0.680524421
361,0.691485798
362,0.696284355
363,0.5683753770000001
364,0.464835426
365,0.5760812
366,0.7609353040000001
367,0.619883069
368,0.667816447
369,0.7540514629999999
370,0.77025259
371,0.576356819
372,0.691845574
373,0.67713635
374,0.654818012
375,0.70802782
376,0.6013283429999999
377,0.571352113
378,0.414814141
379,0.573401512
380,0.457051952
381,0.767553741
382,0.77025259
383,0.604534051
384,0.697055236
385,0.683303395
386,0.6926679
387,0.7098801109999999
388,0.3629906229999999
389,0.49771655
390,0.49317013
391,0.499487739
392,0.58007321
393,0.482330792
394,0.719709103
395,0.77025259
396,0.387290392
397,0.6871131709999999
398,0.441938701
399,0.774994858
400,0.6884815390000001
401,0.6196600529999999
402,0.680361964
403,0.568765489
404,0.718987299
405,0.626105824
406,0.584632452
407,0.77025259
408,0.77025259
409,0.567855904
410,0.606963751
411,0.543832117
412,0.4609338839999999
413,0.77025259
414,0.619273216
415,0.565584124
416,0.77025259
417,0.61257747
418,0.58170408
419,0.543376836
420,0.6725550379999999
