,Role_Director,Character_Facet_Cont_SelfConsciousness,Temperament_Energetic,Character_Facet_Cont_Adventurousness
101,0.593121465,0.4940267129999999,0.375,0.65987574
102,0.572856641,0.528845999,0.125,0.596235741
103,0.517041997,0.508727354,0.125,0.508587621
104,0.577478041,0.417633465,0.25,0.657134391
105,0.569237774,0.464903929,0.375,0.629297191
106,0.3954710729999999,0.4460527489999999,0.125,0.463918834
107,0.47964615,0.517692735,0.375,0.636641982
108,0.538276206,0.266185873,0.5,0.493679176
109,0.604742222,0.499034771,0.5,0.548938994
110,0.580310807,0.366564772,0.125,0.626683963
111,0.530487636,0.549201587,0.375,0.76077929
112,0.428714739,0.27284164,0.125,0.333287855
113,0.434365442,0.633532189,1.0,0.696847085
114,0.508067115,0.5731484179999999,0.375,0.633276884
115,0.527184977,0.467898717,0.375,0.602416297
116,0.540740691,0.463112039,0.0,0.570913031
117,0.647271293,0.48863926,0.5,0.553186562
118,0.529960343,0.529305893,0.5,0.552122566
119,0.4094709239999999,0.254778447,0.125,0.509802106
120,0.509658725,0.632937022,0.125,0.650551735
121,0.4786597829999999,0.6682761420000001,0.125,0.764976972
122,0.570651218,0.478720315,0.125,0.626631162
123,0.504972571,0.45441251,0.75,0.442852626
124,0.565433356,0.4586146,0.125,0.543841629
125,0.6882600879999999,0.4643496,0.375,0.629044834
126,0.246581897,0.6334002,0.375,0.663011162
127,0.542659579,0.386488927,0.0,0.570562127
128,0.4721055999999999,0.667932079,0.625,0.74279858
129,0.6583647979999999,0.385457761,0.125,0.495534345
130,0.6561001129999999,0.364122331,0.5,0.533073392
131,0.602728835,0.4027452,0.75,0.544297474
132,0.564344703,0.455042578,0.25,0.70142848
133,0.499685749,0.27223206,0.125,0.557682105
134,0.568054046,0.429206932,0.0,0.2881069539999999
135,0.5508096170000001,0.547230832,0.5,0.523722719
136,0.5090019729999999,0.531267,0.5,0.538095725
137,0.582757124,0.385732069,0.75,0.602410358
138,0.566950638,0.5370673429999999,0.5,0.48006235
139,0.427731488,0.587000602,0.625,0.774711068
140,0.665185794,0.443095443,0.125,0.551502733
141,0.496662646,0.356387452,0.125,0.629308848
142,0.533106567,0.3916935279999999,0.75,0.6424353110000001
143,0.538707037,0.493091228,0.5,0.7379543190000001
144,0.234306762,0.72627328,0.0,0.534316303
145,0.586636999,0.506683752,0.375,0.58321913
146,0.399128497,0.297815838,0.125,0.4690597279999999
147,0.467578509,0.413533561,0.625,0.698216981
148,0.510857143,0.292062465,0.125,0.50792435
149,0.527693058,0.4897389929999999,0.375,0.624576001
150,0.710482064,0.500174997,0.375,0.581201588
151,0.7043939779999999,0.422163479,0.25,0.506280019
152,0.5384501270000001,0.401820437,0.75,0.630019413
153,0.547733946,0.5091332829999999,1.0,0.7120324659999999
154,0.660348157,0.536922865,0.125,0.618865123
